000000001	000000000	000000000	000000000	000000000	000000000	000169984	-260323072
000000002	000000000	000000000	000000000	000000000	000000000	000169984	-260323072
000000003	000000000	000000000	000000000	000000000	000000000	000169984	-260323072
000000004	000000000	000000000	000000000	000000000	000000000	000169984	-260323072
000000005	012220416	012220416	008173312	008830464	-04788992	000169984	-260323072
000000006	010912512	010912512	006876160	009369344	-05573632	000169984	-260323072
000000007	010619392	010619392	006616320	009990912	-00764416	000169984	-260323072
000000008	012580352	012580352	007919616	010824960	003781120	000169984	-260323072
000000009	013772800	013772800	009173504	010229248	001982720	000169984	-260323072
000000010	014769920	014769920	010016512	009379840	-00807424	000169984	-260323072
000000011	015700480	015700480	010863872	009026304	-01882880	000169984	-260323072
000000012	015213312	015213312	012578304	009119488	-00576256	000169984	-260323072
000000013	012884992	012884992	014871296	008790016	-00489472	000169984	-260323072
000000014	011044608	011044608	016648448	008506112	-02840576	000169984	-260323072
000000015	010689536	010689536	016659456	008348928	-07255040	000169984	-260323072
000000016	009902080	009902080	014579456	008076288	-10833920	000169984	-260323072
000000017	008440832	008440832	011491584	007147520	-09857280	000169984	-260323072
000000018	007559680	007559680	008464640	005122304	-09789184	000169984	-260323072
000000019	005771520	005771520	005467136	001431040	-13362432	000169984	-260323072
000000020	003140352	003140352	002372864	-02187520	-16100608	000169984	-260323072
000000021	001474560	001474560	-00231936	-03798272	-14893312	000169984	-260323072
000000022	000467456	000467456	-01562112	-04420352	-09875456	000169984	-260323072
000000023	-00665600	-00665600	-01523200	-05312256	-06397696	000169984	-260323072
000000024	-01331456	-01331456	-00645632	-06058752	-05826304	000169984	-260323072
000000025	-02182400	-02182400	-00459520	-06747648	-09417728	000169984	-260323072
000000026	-03698432	-03698432	-01029376	-07267584	-12914944	000169984	-260323072
000000027	-05520896	-05520896	-01569792	-07468800	-12833536	000169984	-260323072
000000028	-06995456	-06995456	-01396736	-07385856	-11309312	000169984	-260323072
000000029	-07551488	-07551488	-01160960	-07794176	-12228864	000169984	-260323072
000000030	-06737152	-06737152	-01403136	-07942400	-14733568	000169984	-260323072
000000031	-05177088	-05177088	-01766656	-05806848	-15656960	000169984	-260323072
000000032	-04621056	-04621056	-01822464	-03334912	-12284160	000169984	-260323072
000000033	-04428800	-04428800	-01021440	-03049728	-06569216	000169984	-260323072
000000034	-03508480	-03508480	000865536	-03612160	-01848064	000169984	-260323072
000000035	-00310784	-00310784	002648576	-04250368	-03964928	000169984	-260323072
000000036	000305152	000305152	003847936	-04159488	-03653376	000169984	-260323072
000000037	000477440	000477440	005000192	-03189760	-01922048	000169984	-260323072
000000038	-00146688	-00146688	006567168	-02361344	-02537728	000169984	-260323072
000000039	-00312832	-00312832	007881984	-02361344	-04958464	000169984	-260323072
000000040	-00165120	-00165120	008272640	-04217344	-07949824	000169984	-260323072
000000041	-00082944	-00082944	008272640	-04697856	-07257600	000169984	-260323072
000000042	-00515072	-00515072	003130624	-05395712	-03255808	000169984	-260323072
000000043	-00553728	-00553728	002186496	-06348032	-00185600	000169984	-260323072
000000044	-00621568	-00621568	001029120	-07946240	-02179584	000169984	-260323072
000000045	000508672	000508672	-00013056	-08451072	-02828288	000169984	-260323072
000000046	002375936	002375936	000007680	-06533120	-00499968	000169984	-260323072
000000047	003971584	003971584	000868352	-03616256	001797632	000169984	-260323072
000000048	005820672	005820672	002096896	-02036736	003266816	000169984	-260323072
000000049	008358656	008358656	003088896	000077056	001846272	000169984	-260323072
000000050	010608384	010608384	002898432	002920704	-02731776	000169984	-260323072
