000000001	000000000	000000000	000000000	000000000	000000000	-02498560	-267489792
000000002	000000000	000000000	000000000	000000000	000000000	-02498560	-267489792
000000003	000000000	000000000	000000000	000000000	000000000	-02498560	-267489792
000000004	000000000	000000000	000000000	000000000	000000000	-02498560	-267489792
000000005	010263296	010263296	014257408	009345280	-01035008	-02498560	-267489792
000000006	010247168	010247168	014293760	008662784	-01259520	-02498560	-267489792
000000007	009618944	009618944	011808000	008198144	001220352	-02498560	-267489792
000000008	007676416	007676416	007658752	007786496	000435200	-02498560	-267489792
000000009	003929856	003929856	003396096	005967872	-02336768	-02498560	-267489792
000000010	000869888	000869888	000520192	003774464	-04318720	-02498560	-267489792
000000011	-01200128	-01200128	-02291712	002009856	-03330816	-02498560	-267489792
000000012	-02526208	-02526208	-03691520	-00079616	-01475840	-02498560	-267489792
000000013	-03693824	-03693824	-03717888	-01435904	-01286400	-02498560	-267489792
000000014	-05479680	-05479680	-03682816	-01583104	-00995840	-02498560	-267489792
000000015	-06866176	-06866176	-04455936	-02200832	-03926528	-02498560	-267489792
000000016	-07900160	-07900160	-05819904	-03358464	-07415552	-02498560	-267489792
000000017	-09400320	-09400320	-08021248	-05280000	-09314816	-02498560	-267489792
000000018	-09639680	-09639680	-09360384	-06108928	-07939072	-02498560	-267489792
000000019	-10394624	-10394624	-11033856	-07331840	-10155776	-02498560	-267489792
000000020	-11303168	-11303168	-12087040	-09048832	-12988672	-02498560	-267489792
000000021	-10839040	-10839040	-12555520	-10102528	-12225792	-02498560	-267489792
000000022	-11160576	-11160576	-14816256	-10173184	-11332096	-02498560	-267489792
000000023	-11631360	-11631360	-15409408	-09857280	-10793728	-02498560	-267489792
000000024	-13710848	-13710848	-16990464	-10713600	-13454080	-02498560	-267489792
000000025	-17227008	-17227008	-19609600	-12352512	-15749376	-02498560	-267489792
000000026	-17799680	-17799680	-16206336	-13558272	-14796544	-02498560	-267489792
000000027	-16638464	-16638464	-12007680	-15212032	-14739200	-02498560	-267489792
000000028	-16141824	-16141824	-09007360	-16628992	-14198016	-02498560	-267489792
000000029	-17087232	-17087232	-06827264	-18323200	-15134976	-02498560	-267489792
000000030	-18235648	-18235648	-06539520	-20147968	-16104448	-02498560	-267489792
000000031	-18775808	-18775808	-08348672	-21796096	-15511552	-02498560	-267489792
000000032	-18204672	-18204672	-11000064	-22755840	-12989952	-02498560	-267489792
000000033	-16167936	-16167936	-11756800	-21685760	-02255104	-02498560	-267489792
000000034	-14025984	-14025984	-12171520	-19937792	-04635648	-02498560	-267489792
000000035	-12391424	-12391424	-08096512	-17936896	-06615552	-02498560	-267489792
000000036	-11561216	-11561216	-07300096	-16272384	-05903360	-02498560	-267489792
000000037	-10750720	-10750720	-07956480	-14872576	-02474752	-02498560	-267489792
000000038	-10134016	-10134016	-08460288	-12355328	-04712704	-02498560	-267489792
000000039	-13453312	-13453312	-09453312	-09936128	-08860160	-02498560	-267489792
000000040	-15893248	-15893248	-09596928	-08634880	-11900416	-02498560	-267489792
000000041	-16466688	-16466688	-09152512	-08789248	-12745728	-02498560	-267489792
000000042	-15227136	-15227136	-08020992	-09243648	-09729536	-02498560	-267489792
000000043	-12620288	-12620288	-05719552	-09854720	-08888832	-02498560	-267489792
000000044	-10688512	-10688512	-05236992	-11111168	-08584960	-02498560	-267489792
000000045	-09507840	-09507840	-05841920	-12599040	-09579264	-02498560	-267489792
000000046	-08157952	-08157952	-07095808	-13310720	-08675328	-02498560	-267489792
000000047	-07445248	-07445248	-08528896	-12439296	-05672448	-02498560	-267489792
000000048	-06498816	-06498816	-07919360	-10089728	-03337216	-02498560	-267489792
000000049	-06461952	-06461952	-08060160	-07757056	-03790336	-02498560	-267489792
000000050	-07053568	-07053568	-08778496	-06446336	-05024256	-02498560	-267489792
000000051	-03932672	-03932672	-03216128	-02447616	-00906752	-02498560	-267489792
000000052	-00074240	-00074240	002549504	001531648	002019584	-02498560	-267489792
000000053	000748032	000748032	005321216	003943168	000424192	-02498560	-267489792
000000054	-00640000	-00640000	009139200	006417152	-02116096	-02498560	-267489792
